id,condominio,anunciante,num_suites,num_vagas,num_quartos,area,rua,regiao,descricao,tipo_imovel,localidade,bairro,preco
2131,0.0,JWS - IMÓVEIS,1.0,4.0,3.0,388.0,Rua Andrade Neves,RS,"Entrada de Serviço;
Cozinha;
Área de Serviço; 
Despensa;
Sala de Estar;
Living;
Lavanderia;
Gás Encanado;
Interfone;
Cerca Elétrica...",Casa,Pelotas,Centro,1150000
2132,200.0,FUHRO SOUTO IMOBILIARIA,1.0,1.0,2.0,54.0,Presidente Juscelino Kubitschek de Oliveira,RS,"JK PARQUE CLUBE: 2 dorms, suíte, garagem coberta, cond fechado, ampla área de lazer, estuda propostas. R$250.000",Apartamento,Pelotas,Areal,250000
2133,0.0,MARQUES IMÓVEIS,0.0,1.0,2.0,120.0,,RS,"Casa Semi Mobiliada LARANJAL 2 Dorm,Sala estar,Cozinha,2 wc,Garagem,Churrasq,Piscina aquec solar,Piso Frio. Preço: R$ 340.000,00",Casa,Pelotas,Laranjal,340000
2134,380.0,SUCASA,0.0,1.0,3.0,61.0,Endereço Não Informado,RS,"Ótima posição solar. Condomínio com área de lazer, salão de festas, garagem privada. Portaria 24 horas. - 02/11/2017",Apartamento,Pelotas,Areal,185000
2135,0.0,SUCASA,0.0,1.0,2.0,1.0,Endereço Não Informado,RS,,Casa,Pelotas,Fragata,319000
2136,0.0,Gladis Lopes-Corretora de Imoveis,1.0,2.0,3.0,54.0,Rua Padre Anchieta,RS,"Sobrado diferenciado no Residencial Pinheiros no Fragata, com 3 dormitórios, sendo um suíte, sala de estar e jantar, cozinha com móveis plan...",Casa de Condomínio,Pelotas,Fragata,212000
2137,170.0,MARQUES IMÓVEIS,0.0,1.0,2.0,78.0,,RS,"0676 - Apto, bairro TRES VENDAS, 02 dormitórios, estar social, cozinha, banheiro social, área serviço, armário cozinha, porta gar.automat, á...",Apartamento,Pelotas,Três Vendas,190000
2138,0.0,VILLAR IMÓVEIS,1.0,2.0,3.0,200.0,,RS,"Casa Alto Padrão - Bougainville&nbsp;

Sendo três dormitórios, um suíte, ampla sala de estar e jantar com lareira, piso flutuante e porcelan...",Casa,Pelotas,Laranjal,750000
2139,0.0,SUCASA,0.0,0.0,4.0,205.0,Endereço Não Informado,RS,,Casa,Pelotas,Três Vendas,1200000
2140,1.0,MARQUES IMÓVEIS,1.0,2.0,3.0,217.0,,RS,"Ampla COBERTURA, na ANCHIETA com 3 Dormitórios (sendo 1 Suíte), Sala estar e jantar, Escritório, Cozinha Planejada, Varanda com vista panorâ...",Apartamento,Pelotas,Centro,990000
2141,250.0,MARQUES IMÓVEIS,0.0,1.0,3.0,96.0,,RS,"Apto CENTRO 3 Dormitórios, Estar Social, Cozinha e Área serviço, Banheiro, Garagem, Piso Frio / Parquet, Ar Condicionado. Preço: R$ 280.000,...",Apartamento,Pelotas,Centro,280000
2142,0.0,REQUINTE IMÓVEIS,1.0,2.0,3.0,240.0,Princesa Isabel,RS,,Casa,Pelotas,Centro,420000
2143,0.0,REQUINTE IMÓVEIS,0.0,0.0,2.0,82.0,Rua Barão de Santa Tecla,RS,"3869-CASA, CENTRO AMPLO TERRENO, 2 dormitórios demais dependências",Casa,Pelotas,Centro,350000
2144,200.0,MARQUES IMÓVEIS,0.0,1.0,3.0,77.0,,RS,"0661 - Apto bairro AREAL,próximo ao Shopping Pelotas, São 16 apartamentos com diversas opções de plantas, 2 e 3 dormitórios com áreas privat...",Apartamento,Pelotas,Areal,259000
2145,0.0,MARQUES IMÓVEIS,0.0,0.0,2.0,42.0,,RS,"0563 - Apto GUABIROBA, 02 dormitórios, estar social, cozinha, banheiro social, área serviço. Valor à Vista: 137.800.00",Apartamento,Pelotas,Guabiroba,137800
